Location,District,District_PriceCode,Area,Area_PriceCode,Land Area,Bedrooms,Floor,Facing,Facing_PriceCode,Road Access,Price
"'Bhaisepati, L'",L,34535434.84,Bhaisepati,47003669.23,4.1,4,2.5,NE,38939095.74,12,38000000
"'Sitapaila, K'",K,40271779.3,Sitapaila,32122471.91,6.2,5,2.5,W,35035732.01,20,47000000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,4.0,4,2.5,S,38378801.08,13,34000000
"'Attarkhel, K'",K,40271779.3,Attarkhel,30000000.0,3.2,8,3.0,E,40021095.89,13,30000000
"'Syuchatar, K'",K,40271779.3,Syuchatar,27519230.77,3.2,4,2.0,N,36524064.17,14,22000000
"'Bhaisepati, L'",L,34535434.84,Bhaisepati,47003669.23,6.0,4,2.5,S,38378801.08,13,50000000
"'Lazimpat, K'",K,40271779.3,Lazimpat,54400000.0,5.2,6,2.5,W,35035732.01,15,60000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,9.2,4,2.5,W,35035732.01,20,62000000
"'Lambagar, K'",K,40271779.3,Lambagar,21000000.0,4.0,6,2.5,S,38378801.08,11,26000000
"'Baluwakhani, K'",K,40271779.3,Baluwakhani,26636363.64,3.1,6,3.0,W,35035732.01,16,27500000
"'Mandikhatar, K'",K,40271779.3,Mandikhatar,45133333.33,4.0,4,2.5,S,38378801.08,20,42500000
"'Danchhi, K'",K,40271779.3,Danchhi,13500000.0,3.1,2,1.0,NE,38939095.74,20,12000000
"'Dhapasi, K'",K,40271779.3,Dhapasi,43197058.82,9.0,6,2.5,E,40021095.89,12,47000000
"'Jagdol, K'",K,40271779.3,Jagdol,9000000.0,3.2,5,2.0,E,40021095.89,13,9000000
"'Bhaisepati, L'",L,34535434.84,Bhaisepati,47003669.23,4.2,5,2.5,SE,41320000.0,13,45000000
"'Mandikhatar, K'",K,40271779.3,Mandikhatar,45133333.33,3.1,6,2.5,W,35035732.01,13,26500000
"'Mandikhatar, K'",K,40271779.3,Mandikhatar,45133333.33,5.0,6,2.5,E,40021095.89,13,38500000
"'Pepsicola, K'",K,40271779.3,Pepsicola,37138888.89,7.0,5,2.5,S,38378801.08,20,67500000
"'Bhaisepati, L'",L,34535434.84,Bhaisepati,47003669.23,4.2,6,2.5,SE,41320000.0,20,40000000
"'Khumaltar, L'",L,34535434.84,Khumaltar,38023809.52,4.2,4,2.5,S,38378801.08,14,39000000
"'Raniban, K'",K,40271779.3,Raniban,37400000.0,4.2,6,3.5,SW,39995597.48,14,31000000
"'Kusunti, L'",L,34535434.84,Kusunti,47312500.0,4.2,4,2.5,W,35035732.01,11,40000000
"'Golfutar, K'",K,40271779.3,Golfutar,47734782.61,9.0,6,2.5,S,38378801.08,12,125000000
"'Sano bharyang, K'",K,40271779.3,Sano Bharyang,35300000.0,3.3,7,2.5,NW,36240206.19,13,36000000
"'Aakasedhara, K'",K,40271779.3,Aakasedhara,31000000.0,5.0,6,2.5,SW,39995597.48,12,31500000
"'Hattiban, L'",L,34535434.84,Hattiban,39415384.62,4.1,7,3.0,NE,38939095.74,13,40000000
"'Nakhipot, L'",L,34535434.84,Nakhipot,39136363.64,6.94,5,2.5,W,35035732.01,13,32500000
"'Tokha, K'",K,40271779.3,Tokha,26794117.65,2.2,3,1.0,NW,36240206.19,13,10000000
"'Dharmasthali, K'",K,40271779.3,Dharmasthali,19500000.0,5.0,8,2.5,NE,38939095.74,36,26500000
"'Bhaisepati, L'",L,34535434.84,Bhaisepati,47003669.23,3.5,4,2.5,S,38378801.08,15,45000000
