Location,Land Area,Bedrooms,Floor,Facing,Road Access,Price
"Bhaisepati, L'",4.1,4,2.5,NE,12,38000000.0
"Sitapaila, K'",6.2,5,2.5,W,20,47000000.0
"Imadol, L'",4.0,4,2.5,S,13,34000000.0
"Attarkhel, K'",3.2,8,3.0,E,13,30000000.0
"Syuchatar, K'",3.2,4,2.0,N,14,22000000.0
"Bhaisepati, L'",6.0,4,2.5,S,13,50000000.0
"Lazimpat, K'",5.2,6,2.5,W,15,60000000.0
"Budhanilkantha, K'",9.2,4,2.5,W,20,62000000.0
"Lambagar, K'",4.0,6,2.5,S,11,26000000.0
"Baluwakhani, K'",3.1,6,3.0,W,16,27500000.0
"Mandikhatar, K'",4.0,4,2.5,S,20,42500000.0
"Danchhi, K'",3.1,2,1.0,NE,20,12000000.0
"Dhapasi, K'",9.0,6,2.5,E,12,47000000.0
"Jagdol, K'",3.2,5,2.0,E,13,9000000.0
"Bhaisepati, L'",4.2,5,2.5,SE,13,45000000.0
"Mandikhatar, K'",3.1,6,2.5,W,13,26500000.0
"Mandikhatar, K'",5.0,6,2.5,E,13,38500000.0
"Pepsicola, K'",7.0,5,2.5,S,20,67500000.0
"Bhaisepati, L'",4.2,6,2.5,SE,20,40000000.0
"Khumaltar, L'",4.2,4,2.5,S,14,39000000.0
"Raniban, K'",4.2,6,3.5,SW,14,31000000.0
"Kusunti, L'",4.2,4,2.5,W,11,40000000.0
"Sano bharyang, K'",3.3,7,2.5,NW,13,36000000.0
"Aakasedhara, K'",5.0,6,2.5,SW,12,31500000.0
"Hattiban, L'",4.1,7,3.0,NE,13,40000000.0
"Nakhipot, L'",6.94,5,2.5,W,13,32500000.0
"Tokha, K'",2.2,3,1.0,NW,13,10000000.0
"Dharmasthali, K'",5.0,8,2.5,NE,36,26500000.0
"Bhaisepati, L'",3.5,4,2.5,S,15,45000000.0
"Golfutar, K'",4.0,4,2.5,E,13,32500000.0
"Sitapaila, K'",3.0,2,1.0,W,13,14000000.0
"Kapan, K'",3.0,2,1.0,S,13,13500000.0
"Hepali Height, K'",4.0,4,2.5,NE,13,33500000.0
"Budhanilkantha, K'",5.0,6,2.5,SW,14,36000000.0
"Yetkha, K'",2.3,8,4.0,S,16,32000000.0
"Sitapaila, K'",5.0,5,2.5,E,13,65000000.0
"Pasikot, K'",4.4,4,2.5,NE,15,45000000.0
"Gothatar, K'",3.3,5,2.5,NW,28,24000000.0
"Nakhipot, L'",4.0,7,2.5,SE,12,36000000.0
"Imadol, L'",3.0,3,2.5,S,13,21000000.0
"Budhanilkantha, K'",6.0,4,2.5,W,13,46000000.0
"Ekatabasti, K'",4.1,4,2.5,W,16,36000000.0
"Mandikhatar, K'",4.3,5,2.5,E,13,34500000.0
"Dhapasi, K'",7.0,5,2.5,NE,13,44000000.0
"Lolang, K'",3.0,2,1.0,E,13,13799999.999999998
"Ekatabasti, K'",3.0,5,2.5,S,13,18500000.0
"Baluwatar, K'",8.0,3,2.5,S,10,80000000.0
"Radhe Radhe, B'",2.2,4,4.0,N,24,24000000.0
"Mandikhatar, K'",5.0,6,2.5,E,13,37800000.0
"Pepsicola, K'",3.2,6,2.5,E,20,24000000.0
"Kapan, K'",3.1,2,1.0,SE,13,16800000.0
"Balkot, B'",6.52,4,3.0,S,20,28000000.0
"Thamel, K'",3.0,5,2.5,SE,13,55000000.0
"Bafal, K'",4.0,7,2.5,SW,12,36500000.0
"Sipadol, B'",4.0,2,1.0,SE,13,15000000.0
"Budhanilkantha, K'",4.5,7,2.5,N,13,50000000.0
"Ganesh Chowk, K'",4.0,5,2.5,E,13,35000000.0
"Chunikhel, K'",4.0,5,2.5,SW,13,28000000.0
"Baluwatar, K'",6.0,5,2.5,W,25,35000000.0
"Mhaipi, K'",4.0,4,3.0,N,20,33000000.0
"Tikathali, L'",2.6,6,2.5,SE,12,22000000.0
"Imadol, L'",3.2,7,2.5,NE,20,28500000.0
"Ekatabasti, K'",4.1,2,1.0,E,16,17000000.0
"Budhanilkantha, K'",5.0,5,2.5,W,13,36000000.0
"Dhapasi, K'",3.1,5,2.5,E,12,21000000.0
"Harisiddhi, L'",3.2,5,2.5,S,20,23500000.0
"Rudreshwor, K'",6.3,5,2.5,E,14,68000000.0
"Baluwa, K'",3.3,2,1.0,SE,10,6800000.000000001
"Thapathali, K'",7.0,5,2.0,E,14,60000000.0
"Maijubahal, K'",6.2,5,3.5,N,8,35000000.0
"Samakhusi, K'",3.0,3,2.5,W,12,32500000.0
"Budhanilkantha, K'",3.0,6,2.5,N,15,40000000.0
"Kusunti, L'",3.2,5,2.5,S,13,24000000.0
"Dhapakhel, L'",2.2,6,3.0,S,13,19000000.0
"Sundarbasti, K'",3.2,6,3.0,E,12,25500000.0
"Baluwakhani, K'",3.2,5,2.5,E,13,19500000.0
"Basundhara, K'",5.2,4,2.5,N,16,35000000.0
"Thankot, K'",2.3,5,2.5,SW,13,16000000.0
"Imadol, L'",3.2,5,2.5,S,13,27500000.0
"Wasik, K'",5.2,5,3.0,S,14,37500000.0
"Khumaltar, L'",4.1,5,3.5,SE,13,31000000.0
"Koteshwor, K'",4.0,5,3.5,E,26,45000000.0
"Gongabu, K'",8.0,5,2.5,SW,10,51500000.0
"Budhanilkantha, K'",4.2,4,2.5,SW,13,35000000.0
"Ochu Height, L'",3.0,4,2.5,W,13,23000000.0
"Mandikhatar, K'",5.0,5,2.5,E,16,39500000.0
"Thankot, K'",3.0,4,2.5,N,13,21000000.0
