Location,Land Area,Beadrooms,Floor,Facing,Road Acess,Price
"'Hattigauda, K'",4,2,1,E,13,19000000
"'Jorpati, K'",5.3,2,1,S,13,30000000
"'Sanagaun, L'",3,2,1,E,13,14000000
"'Sallaghari, B'",3.5,2,1,E,13,17000000
"'Budhanilkantha, K'",9,1,1,E,20,85000000
"'Indrayani, K'",3,2,1,E,20,11500000
"'Imadol, L'",5,1,1,NE,13,45000000
"'Bhangal, K'",7,1,1,S,10,35000000
"'Bhaisepati, L'",13,1,1,S,16,135000000
"'Bhaisepati, L'",22,1,1,E,13,187000000
"'Ghatta Chowk, K'",3,2,1,NE,12,16000000
"'Nakkhu, L'",11,2,1,NE,13,40700000
"'Tikathali, L'",3,2,1,S,10,17500000
"'Gothatar, K'",3,2,1,E,13,17500000
"'Gothatar, K'",3,2,1,S,13,15500000
"'Ganesh mandir, B'",2.5,2,1,E,13,11000000
"'Goldhunga, K'",3,2,1,E,13,10500000
"'Tikathali, L'",3,2,1,SW,13,14500000
"'Bhaisepati, L'",4,3,1,NE,13,36500000
"'Mulpani, K'",3.1,2,1,N,13,17500000
"'Tikathali, L'",3,3,1,W,13,16000000
"'Lubhu, L'",3,1,1,E,13,15500000
"'Lubhu, L'",3,2,1,S,13,14500000
"'Imadol, L'",3.5,6,1,E,13,35000000
"'Kavresthali, K'",4,2,1,NE,10,14000000
"'New baneshwor, K'",10,4,1,SW,13,105000000
"'Khumaltar, L'",4.2,6,1,W,13,41500000
"'Imadol, L'",3.1,4,1,W,13,24500000
"'Imadol, L'",8.1,5,1,N,13,33500000
"'Bhaisepati, L'",5,4,1,NE,14,45000000
"'Ganesh chowk, K'",4.2,6,1,W,13,38000000
"'Ganesh chowk, K'",5,5,1,W,13,43000000
"'Ganesh chowk, K'",4.3,7,1,E,14,46000000
"'Kupondole, L'",3,3,1,E,18,39500000
"'Balkot, B'",5.2,3,1,N,24,53000000
"'Tikathali, L'",3,4,1,S,13,21500000
"'Imadol, L'",3.3,5,1,S,13,35500000
"'Imadol, L'",2.2,2,1,W,13,14500000
"'Imadol, L'",3.2,5,1,S,16,26500000
"'Imadol, L'",4,5,1,SE,13,39500000
"'Dhunge Shaghu, L'",2.3,2,1,N,13,17500000
"'Imadol, L'",2.2,4,1,N,13,22000000
