Location,District,District_PriceCode,Area,Area_PriceCode,Land Area,Bedrooms,Facing,Facing_PriceCode,Road Access,Price
"'Hattigauda, K'",K,36682079.16,Hattigauda,36045599.54,4,2,E,36403707.15,13,19000000
"'Jorpati, K'",K,36682079.16,Jorpati,33048281.86,5.3,2,S,32636997.24,13,30000000
"'Sanagaun, L'",L,33467802.12,Sanagaun,29003901.06,3,2,E,36403707.15,13,14000000
"'Sallaghari, B'",B,29573874.67,Sallaghari,27695624.76,3.5,2,E,36403707.15,13,17000000
"'Budhanilkantha, K'",K,36682079.16,Budhanilkantha,41206415.83,9,1,E,36403707.15,20,85000000
"'Indrayani, K'",K,36682079.16,Indrayani,34392799.24,3,2,E,36403707.15,20,11500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,5,1,NE,33725298.44,13,45000000
"'Bhangal, K'",K,36682079.16,Bhangal,36385024.74,7,1,S,32636997.24,10,35000000
"'Ghatta Chowk, K'",K,36682079.16,Ghatta Chowk,34801890.15,3,2,NE,33725298.44,12,16000000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,3,2,S,32636997.24,10,17500000
"'Gothatar, K'",K,36682079.16,Gothatar,30072418.65,3,2,E,36403707.15,13,17500000
"'Gothatar, K'",K,36682079.16,Gothatar,30072418.65,3,2,S,32636997.24,13,15500000
"'Ganesh mandir, B'",B,29573874.67,Ganesh Mandir,27885340.61,2.5,2,E,36403707.15,13,11000000
"'Goldhunga, K'",K,36682079.16,Goldhunga,34901732.64,3,2,E,36403707.15,13,10500000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,3,2,SW,33039133.52,13,14500000
"'Bhaisepati, L'",L,33467802.12,Bhaisepati,41013560.42,4,3,NE,33725298.44,13,36500000
"'Mulpani, K'",K,36682079.16,Mulpani,35301299.48,3.1,2,N,32763770.05,13,17500000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,3,3,W,34071065.83,13,16000000
"'Lubhu, L'",L,33467802.12,Lubhu,24974215.04,3,1,E,36403707.15,13,15500000
"'Lubhu, L'",L,33467802.12,Lubhu,24974215.04,3,2,S,32636997.24,13,14500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,3.5,6,E,36403707.15,13,35000000
"'Kavresthali, K'",K,36682079.16,Kavresthali,36682079.16,4,2,NE,33725298.44,10,14000000
"'Khumaltar, L'",L,33467802.12,Khumaltar,37854876.33,4.2,6,W,34071065.83,13,41500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,3.1,4,W,34071065.83,13,24500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,8.1,5,N,32763770.05,13,33500000
"'Bhaisepati, L'",L,33467802.12,Bhaisepati,41013560.42,5,4,NE,33725298.44,14,45000000
"'Ganesh chowk, K'",K,36682079.16,Ganesh Chowk,37613799.48,4.2,6,W,34071065.83,13,38000000
"'Ganesh chowk, K'",K,36682079.16,Ganesh Chowk,37613799.48,5,5,W,34071065.83,13,43000000
"'Ganesh chowk, K'",K,36682079.16,Ganesh Chowk,37613799.48,4.3,7,E,36403707.15,14,46000000
"'Kupondole, L'",L,33467802.12,Kupondole,34016183.75,3,3,E,36403707.15,18,39500000
"'Balkot, B'",B,29573874.67,Balkot,31347812.38,5.2,3,N,32763770.05,24,53000000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,3,4,S,32636997.24,13,21500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,3.3,5,S,32636997.24,13,35500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,2.2,2,W,34071065.83,13,14500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,3.2,5,S,32636997.24,16,26500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,4,5,SE,37959390.61,13,39500000
"'Dhunge Shaghu, L'",L,33467802.12,Dhunge Shaghu,32016183.75,2.3,2,N,32763770.05,13,17500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,2.2,4,N,32763770.05,13,22000000
"'Harisiddhi, L'",L,33467802.12,Harisiddhi,31794191.49,4,7,E,36403707.15,13,29500000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,3.2,2,E,36403707.15,13,17000000
"'Chunikhel, K'",K,36682079.16,Chunikhel,36001155.09,3.2,2,N,32763770.05,14,19500000
"'Chundevi, K'",K,36682079.16,Chundevi,38347344.7,5.2,4,SE,37959390.61,12,55000000
"'Naxal, K'",K,36682079.16,Naxal,43140060.9,10,5,E,36403707.15,14,80000000
"'Hepali, K'",K,36682079.16,Hepali,39892799.24,8,5,SW,33039133.52,20,72000000
"'Rudreshwor, K'",K,36682079.16,Rudreshwor,38601599.36,7,4,E,36403707.15,13,50000000
"'Bhangal, K'",K,36682079.16,Bhangal,36385024.74,3.3,5,E,36403707.15,13,33000000
"'Rudreshwor, K'",K,36682079.16,Rudreshwor,38601599.36,8,5,E,36403707.15,13,50000000
"'Sukedhara, K'",K,36682079.16,Sukedhara,36990043.98,6,6,E,36403707.15,16,44500000
"'Lasuntar, K'",K,36682079.16,Lasuntar,35915770.83,4.2,5,S,32636997.24,13,34000000
"'Ganesh Chowk, K'",K,36682079.16,Ganesh Chowk,37613799.48,5,6,E,36403707.15,13,47000000
"'Lasuntar, K'",K,36682079.16,Lasuntar,35915770.83,3.5,6,S,32636997.24,13,30000000
"'Mandikatar, K'",K,36682079.16,Mandikatar,35621386.11,3.1,6,SW,33039133.52,13,32500000
"'Baneshwor, K'",K,36682079.16,Baneshwor,40487199.4,4.3,6,W,34071065.83,16,50000000
"'Bhaisepati, L'",L,33467802.12,Bhaisepati,41013560.42,5,7,E,36403707.15,14,85000000
"'Dholahiti, L'",L,33467802.12,Dholahiti,35431501.77,4.1,5,S,32636997.24,16,42000000
