Location,District,District_PriceCode,Area,Area_PriceCode,Land Area,Bedrooms,Road Access,Facing,Facing_PriceCode,Price
"'Hattigauda, K'",K,42844536.71,Hattigauda,44666666.67,4,2,13,E,41179677.42,19000000
"'Jorpati, K'",K,42844536.71,Jorpati,27136363.64,5.3,2,13,S,35650000,30000000
"'Sanagaun, L'",L,35415524.19,Sanagaun,26283333.33,3,2,13,E,41179677.42,14000000
"'Sallaghari, B'",B,30804807.69,Sallaghari,23000000,3.5,2,13,E,41179677.42,17000000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,9,1,20,E,41179677.42,85000000
"'Indrayani, K'",K,42844536.71,Indrayani,11500000,3,2,20,E,41179677.42,11500000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,5,1,13,NE,39629508.2,45000000
"'Bhangal, K'",K,42844536.71,Bhangal,36653846.15,7,1,10,S,35650000,35000000
"'Bhaisepati, L'",L,35415524.19,Bhaisepati,48360000,13,1,16,S,35650000,135000000
"'Bhaisepati, L'",L,35415524.19,Bhaisepati,48360000,22,1,13,E,41179677.42,187000000
"'Ghatta Chowk, K'",K,42844536.71,Ghatta Chowk,16000000,3,2,12,NE,39629508.2,16000000
"'Nakkhu, L'",L,35415524.19,Nakkhu,35566666.67,11,2,13,NE,39629508.2,40700000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,3,2,10,S,35650000,17500000
"'Gothatar, K'",K,42844536.71,Gothatar,24946666.67,3,2,13,E,41179677.42,17500000
"'Gothatar, K'",K,42844536.71,Gothatar,24946666.67,3,2,13,S,35650000,15500000
"'Ganesh mandir, B'",B,30804807.69,Ganesh Mandir,11000000,2.5,2,13,E,41179677.42,11000000
"'Goldhunga, K'",K,42844536.71,Goldhunga,22375000,3,2,13,E,41179677.42,10500000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,3,2,13,SW,40332835.82,14500000
"'Bhaisepati, L'",L,35415524.19,Bhaisepati,48360000,4,3,13,NE,39629508.2,36500000
"'Mulpani, K'",K,42844536.71,Mulpani,32722222.22,3.1,2,13,N,38826844.25,17500000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,3,3,13,W,36390395.48,16000000
"'Lubhu, L'",L,35415524.19,Lubhu,21756521.74,3,1,13,E,41179677.42,15500000
"'Lubhu, L'",L,35415524.19,Lubhu,21756521.74,3,2,13,S,35650000,14500000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,3.5,6,13,E,41179677.42,35000000
"'Kavresthali, K'",K,42844536.71,Kavresthali,14000000,4,2,10,NE,39629508.2,14000000
"'New baneshwor, K'",K,42844536.71,New Baneshwor,65750000,10,4,13,SW,40332835.82,105000000
"'Khumaltar, L'",L,35415524.19,Khumaltar,44285714.29,4.2,6,13,W,36390395.48,41500000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,3.1,4,13,W,36390395.48,24500000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,8.1,5,13,N,38826844.25,33500000
"'Bhaisepati, L'",L,35415524.19,Bhaisepati,48360000,5,4,14,NE,39629508.2,45000000
"'Ganesh chowk, K'",K,42844536.71,Ganesh Chowk,40687500,4.2,6,13,W,36390395.48,38000000
"'Ganesh chowk, K'",K,42844536.71,Ganesh Chowk,40687500,5,5,13,W,36390395.48,43000000
"'Ganesh chowk, K'",K,42844536.71,Ganesh Chowk,40687500,4.3,7,14,E,41179677.42,46000000
"'Kupondole, L'",L,35415524.19,Kupondole,39500000,3,3,18,E,41179677.42,39500000
"'Balkot, B'",B,30804807.69,Balkot,39574074.07,5.2,3,24,N,38826844.25,53000000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,3,4,13,S,35650000,21500000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,3.3,5,13,S,35650000,35500000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,2.2,2,13,W,36390395.48,14500000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,3.2,5,16,S,35650000,26500000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,4,5,13,SE,41607843.14,39500000
"'Dhunge Shaghu, L'",L,35415524.19,Dhunge Shaghu,17500000,2.3,2,13,N,38826844.25,17500000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,2.2,4,13,N,38826844.25,22000000
"'Harisiddhi, L'",L,35415524.19,Harisiddhi,34035714.29,4,7,13,E,41179677.42,29500000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,3.2,2,13,E,41179677.42,17000000
"'Chunikhel, K'",K,42844536.71,Chunikhel,34472727.27,3.2,2,14,N,38826844.25,19500000
"'Chundevi, K'",K,42844536.71,Chundevi,57000000,5.2,4,12,SE,41607843.14,55000000
"'Pasikot, K'",K,42844536.71,Pasikot,51625000,15,5,15,NE,39629508.2,100000000
"'Naxal, K'",K,42844536.71,Naxal,73500000,10,5,14,E,41179677.42,80000000
"'Hepali, K'",K,42844536.71,Hepali,72000000,8,5,20,SW,40332835.82,72000000
"'Sukedhara, K'",K,42844536.71,Sukedhara,46750000,12,5,14,E,41179677.42,115000000
"'Rudreshwor, K'",K,42844536.71,Rudreshwor,81250000,7,4,13,E,41179677.42,50000000
"'Bhangal, K'",K,42844536.71,Bhangal,36653846.15,3.3,5,13,E,41179677.42,33000000
"'Rudreshwor, K'",K,42844536.71,Rudreshwor,81250000,8,5,13,E,41179677.42,50000000
"'Sukedhara, K'",K,42844536.71,Sukedhara,46750000,6,6,16,E,41179677.42,44500000
"'Lasuntar, K'",K,42844536.71,Lasuntar,34000000,4.2,5,13,S,35650000,34000000
"'Ganesh Chowk, K'",K,42844536.71,Ganesh Chowk,40687500,5,6,13,E,41179677.42,47000000
"'Lasuntar, K'",K,42844536.71,Lasuntar,34000000,3.5,6,13,S,35650000,30000000
"'Mandikatar, K'",K,42844536.71,Mandikatar,33409090.91,3.1,6,13,SW,40332835.82,32500000
"'Baneshwor, K'",K,42844536.71,Baneshwor,99314285.71,4.3,6,16,W,36390395.48,50000000
"'Baluwatar, K'",K,42844536.71,Baluwatar,67000000,10,5,15,NE,39629508.2,130000000
"'Manbhawan, L'",L,35415524.19,Manbhawan,148250000,16,5,16,SW,40332835.82,152500000
"'Bhaisepati, L'",L,35415524.19,Bhaisepati,48360000,5,7,14,E,41179677.42,85000000
"'Maharajgunj, K'",K,42844536.71,Maharajgunj,85428571.43,7,4,18,SW,40332835.82,110000000
"'Dholahiti, L'",L,35415524.19,Dholahiti,57666666.67,4.1,5,16,S,35650000,42000000
"'Bishalnagar, K'",K,42844536.71,Bishalnagar,81250000,8.3,5,20,S,35650000,80000000
"'Baluwatar, K'",K,42844536.71,Baluwatar,67000000,5,5,13,E,41179677.42,50000000
"'Golfutar, K'",K,42844536.71,Golfutar,45250000,6.1,5,13,NE,39629508.2,77000000
"'Deuba Chowk, K'",K,42844536.71,Deuba Chowk,42500000,6,4,20,W,36390395.48,50000000
"'Jorpati, K'",K,42844536.71,Jorpati,27136363.64,3,2,13,E,41179677.42,23000000
"'Tej Binayak, K'",K,42844536.71,Tej Binayak,20000000,3.1,6,20,E,41179677.42,28000000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,10,1,13,S,35650000,70000000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,19,1,20,SE,41607843.14,150000000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,4.3,6,13,W,36390395.48,43500000
"'Tej Binayak, K'",K,42844536.71,Tej Binayak,20000000,3.1,2,13,N,38826844.25,17500000
"'Harharmahadev, K'",K,42844536.71,Harharmahadev,35000000,4.1,6,13,SE,41607843.14,35000000
"'Kantipur Coloney, L'",L,35415524.19,Kantipur Coloney,26000000,3.3,4,16,W,36390395.48,26000000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,8.5,6,13,W,36390395.48,68000000
"'Hattigauda, K'",K,42844536.71,Hattigauda,44666666.67,14.1,7,16,E,41179677.42,120000000
"'Katunje, B'",B,30804807.69,Katunje,31000000,4.1,5,13,SW,40332835.82,31000000
"'Maitidevi, K'",K,42844536.71,Maitidevi,45000000,13.3,5,14,S,35650000,96000000
"'Narayanthan, K'",K,42844536.71,Narayanthan,76666666.67,13,5,14,N,38826844.25,125000000
"'Rudreshwor, K'",K,42844536.71,Rudreshwor,81250000,32.2,5,13,S,35650000,190000000
"'Maharajgunj, K'",K,42844536.71,Maharajgunj,85428571.43,16.4,3,13,S,35650000,85000000
"'Maharajgunj, K'",K,42844536.71,Maharajgunj,85428571.43,7.2,6,20,W,36390395.48,58000000
"'Srij Nagar, B'",B,30804807.69,Srij Nagar,21000000,2.2,4,13,E,41179677.42,21000000
"'Kmc Hospital, B'",B,30804807.69,Kmc Hospital,12500000,3.2,1,12,N,38826844.25,12500000
"'Taukhel, L'",L,35415524.19,Taukhel,24750000,5.1,1,16,E,41179677.42,20000000
"'Tokha, K'",K,42844536.71,Tokha,32214285.71,3.5,1,13,S,35650000,18500000
"'Balkot, B'",B,30804807.69,Balkot,39574074.07,5.5,2,22,E,41179677.42,30000000
"'Machhegaun, K'",K,42844536.71,Machhegaun,11000000,3,2,20,S,35650000,11000000
"'Gothatar, K'",K,42844536.71,Gothatar,24946666.67,3,2,6,NE,39629508.2,11000000
