Location,District,District_PriceCode,Area,Area_PriceCode,Land Area,Bedrooms,Floor,Facing,Facing_PriceCode,Road Access,Price
"'Hattigauda, K'",K,37338387.72,Hattigauda,35250000.0,4.0,2,1.0,E,36431958.76,13,19000000
"'Jorpati, K'",K,37338387.72,Jorpati,27136363.64,5.3,2,1.0,S,31992462.31,13,30000000
"'Sanagaun, L'",L,33117499.99,Sanagaun,26283333.33,3.0,2,1.0,E,36431958.76,13,14000000
"'Sallaghari, B'",B,28067676.77,Sallaghari,23000000.0,3.5,2,1.0,E,36431958.76,13,17000000
"'Budhanilkantha, K'",K,37338387.72,Budhanilkantha,42703703.7,9.0,1,1.0,E,36431958.76,20,85000000
"'Indrayani, K'",K,37338387.72,Indrayani,11500000.0,3.0,2,1.0,E,36431958.76,20,11500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,5.0,1,1.0,NE,34112500.0,13,45000000
"'Bhangal, K'",K,37338387.72,Bhangal,36653846.15,7.0,1,1.0,S,31992462.31,10,35000000
"'Ghatta Chowk, K'",K,37338387.72,Ghatta Chowk,16000000.0,3.0,2,1.0,NE,34112500.0,12,16000000
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,3.0,2,1.0,S,31992462.31,10,17500000
"'Gothatar, K'",K,37338387.72,Gothatar,24946666.67,3.0,2,1.0,E,36431958.76,13,17500000
"'Gothatar, K'",K,37338387.72,Gothatar,24946666.67,3.0,2,1.0,S,31992462.31,13,15500000
"'Ganesh mandir, B'",B,28067676.77,Ganesh Mandir,11000000.0,2.5,2,1.0,E,36431958.76,13,11000000
"'Goldhunga, K'",K,37338387.72,Goldhunga,22375000.0,3.0,2,1.0,E,36431958.76,13,10500000
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,3.0,2,1.0,SW,32763333.33,13,14500000
"'Bhaisepati, L'",L,33117499.99,Bhaisepati,42372340.43,4.0,3,1.0,NE,34112500.0,13,36500000
"'Mulpani, K'",K,37338387.72,Mulpani,32722222.22,3.1,2,1.0,N,32362162.15,13,17500000
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,3.0,3,1.0,W,35438823.53,13,16000000
"'Lubhu, L'",L,33117499.99,Lubhu,20136363.64,3.0,1,1.0,E,36431958.76,13,15500000
"'Lubhu, L'",L,33117499.99,Lubhu,20136363.64,3.0,2,1.0,S,31992462.31,13,14500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,3.5,6,1.0,E,36431958.76,13,35000000
"'Kavresthali, K'",K,37338387.72,Kavresthali,14000000.0,4.0,2,1.0,NE,34112500.0,10,14000000
"'Khumaltar, L'",L,33117499.99,Khumaltar,44285714.29,4.2,6,1.0,W,35438823.53,13,41500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,3.1,4,1.0,W,35438823.53,13,24500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,8.1,5,1.0,N,32362162.15,13,33500000
"'Bhaisepati, L'",L,33117499.99,Bhaisepati,42372340.43,5.0,4,1.0,NE,34112500.0,14,45000000
"'Ganesh chowk, K'",K,37338387.72,Ganesh Chowk,40687500.0,4.2,6,1.0,W,35438823.53,13,38000000
"'Ganesh chowk, K'",K,37338387.72,Ganesh Chowk,40687500.0,5.0,5,1.0,W,35438823.53,13,43000000
"'Ganesh chowk, K'",K,37338387.72,Ganesh Chowk,40687500.0,4.3,7,1.0,E,36431958.76,14,46000000
"'Kupondole, L'",L,33117499.99,Kupondole,39500000.0,3.0,3,1.0,E,36431958.76,18,39500000
"'Balkot, B'",B,28067676.77,Balkot,32108695.65,5.2,3,1.0,N,32362162.15,24,53000000
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,3.0,4,1.0,S,31992462.31,13,21500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,3.3,5,1.0,S,31992462.31,13,35500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,2.2,2,1.0,W,35438823.53,13,14500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,3.2,5,1.0,S,31992462.31,16,26500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,4.0,5,1.0,SE,38727272.73,13,39500000
"'Dhunge Shaghu, L'",L,33117499.99,Dhunge Shaghu,17500000.0,2.3,2,1.0,N,32362162.15,13,17500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,2.2,4,1.0,N,32362162.15,13,22000000
